id,Street,City and Zip,Full address,Latitude,Longitude,key_id
1,560 Stokes Landing Rd,"Palatka, FL, 32177","560 Stokes Landing Rd,Palatka, FL, 32177",29.57458,-81.702173,1
2,606 Stokes Landing Rd,"Palatka, FL, 32177","606 Stokes Landing Rd,Palatka, FL, 32177",29.572381,-81.698794,2
3,604 Stokes Landing Rd,"Palatka, FL, 32177","604 Stokes Landing Rd,Palatka, FL, 32177",29.572183,-81.699482,3
4,901 Front St,"Welaka, FL, 32193","901 Front St,Welaka, FL, 32193",29.47616,-81.675212,4
5,122 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","122 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430777,-81.648199,5
6,148 Shell Harbour Rd,"Satsuma, FL, 32189","148 Shell Harbour Rd,Satsuma, FL, 32189",29.52103,-81.677505,6
7,117 St Johns Fishing Lodge Rd,"Crescent City, FL, 32112","117 St Johns Fishing Lodge Rd,Crescent City, FL, 32112",29.421303,-81.646729,7
8,215 Walker Rd,"Crescent City, FL, 32112","215 Walker Rd,Crescent City, FL, 32112",29.425021,-81.646587,8
9,129 S Hubers Fish Camp Rd,"Crescent City, FL, 32112","129 S Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430081,-81.646986,9
10,125 N Hubers Fish Camp Rd,"Crescent City, FL, 32112","125 N Hubers Fish Camp Rd,Crescent City, FL, 32112",29.430419,-81.648003,10
11,118 Camp George Rd,"Crescent City, FL, 32112","118 Camp George Rd,Crescent City, FL, 32112",29.422223,-81.646605,11
12,217 Walker Rd,"Crescent City, FL, 32112","217 Walker Rd,Crescent City, FL, 32112",29.424772,-81.646626,12
13,723 National Forest Rd 75G,"Palatka, FL, 32177","723 National Forest Rd 75G,Palatka, FL, 32177",29.41795,-81.660078,13
14,206 S Hayes Ave,"Crescent City, FL, 32112","206 S Hayes Ave,Crescent City, FL, 32112",29.418233,-81.649523,14
15,200 S Hayes Ave,"Crescent City, FL, 32112","200 S Hayes Ave,Crescent City, FL, 32112",29.418817,-81.648809,15
16,111 Ludwig Ave,"Crescent City, FL, 32112","111 Ludwig Ave,Crescent City, FL, 32112",29.417654,-81.645907,16
17,207 Walker Rd,"Crescent City, FL, 32112","207 Walker Rd,Crescent City, FL, 32112",29.424535,-81.646585,17
18,107 Ludwig Ave,"Crescent City, FL, 32112","107 Ludwig Ave,Crescent City, FL, 32112",29.417697,-81.645199,18
19,111 Ramona Rd,"Crescent City, FL, 32112","111 Ramona Rd,Crescent City, FL, 32112",29.432639,-81.662802,19
20,750 National Forest Rd 75G,"Palatka, FL, 32177","750 National Forest Rd 75G,Palatka, FL, 32177",29.421384,-81.660618,20
21,606 Bass Dr,"Crescent City, FL, 32112","606 Bass Dr,Crescent City, FL, 32112",29.417788,-81.648869,21
22,219 Park Ave,"Crescent City, FL, 32112","219 Park Ave,Crescent City, FL, 32112",29.418335,-81.646753,22
23,134 S Hubers Fish Camp Rd,"Crescent City, FL, 32112","134 S Hubers Fish Camp Rd,Crescent City, FL, 32112",29.42933,-81.64699,23
24,1028 County Road 309,"Crescent City, FL, 32112","1028 County Road 309,Crescent City, FL, 32112",29.441286,-81.648253,24
25,604 Bass Dr,"Crescent City, FL, 32112","604 Bass Dr,Crescent City, FL, 32112",29.417644,-81.648469,25
26,118 Ludwig Ave,"Crescent City, FL, 32112","118 Ludwig Ave,Crescent City, FL, 32112",29.418061,-81.646745,26
27,1189 County Road 309,"Crescent City, FL, 32112","1189 County Road 309,Crescent City, FL, 32112",29.420377,-81.647003,27
28,134 Nortons Fish Camp Rd,"Satsuma, FL, 32189","134 Nortons Fish Camp Rd,Satsuma, FL, 32189",29.514651,-81.676481,28
29,772 National Forest Rd 75G,"Palatka, FL, 32177","772 National Forest Rd 75G,Palatka, FL, 32177",29.419376,-81.656832,29
30,210 S Hayes Ave,"Crescent City, FL, 32112","210 S Hayes Ave,Crescent City, FL, 32112",29.41803,-81.649674,30
31,131 Ramona Rd,"Crescent City, FL, 32112","131 Ramona Rd,Crescent City, FL, 32112",29.431745,-81.660618,31
32,600 Bass Dr,"Crescent City, FL, 32112","600 Bass Dr,Crescent City, FL, 32112",29.417564,-81.648133,32
33,300 Bass Dr,"Crescent City, FL, 32112","300 Bass Dr,Crescent City, FL, 32112",29.418843,-81.647216,33
34,134 Hayes Ave,"Crescent City, FL, 32112","134 Hayes Ave,Crescent City, FL, 32112",29.41929,-81.648452,34
35,1171 County Road 309,"Crescent City, FL, 32112","1171 County Road 309,Crescent City, FL, 32112",29.423204,-81.646202,35
36,120 National Forest Rd 29 ,"Palatka, FL, 32177","120 National Forest Rd 29 ,Palatka, FL, 32177",29.422518,-81.665802,36
